"";"ASSETID";"PERIOD";"PRICE";"UNITPRICE";"CONSTRUCTEDAREA";"ROOMNUMBER";"BATHNUMBER";"HASTERRACE";"HASLIFT";"HASAIRCONDITIONING";"AMENITYID";"HASPARKINGSPACE";"ISPARKINGSPACEINCLUDEDINPRICE";"PARKINGSPACEPRICE";"HASNORTHORIENTATION";"HASSOUTHORIENTATION";"HASEASTORIENTATION";"HASWESTORIENTATION";"HASBOXROOM";"HASWARDROBE";"HASSWIMMINGPOOL";"HASDOORMAN";"HASGARDEN";"ISDUPLEX";"ISSTUDIO";"ISINTOPFLOOR";"CONSTRUCTIONYEAR";"FLOORCLEAN";"FLATLOCATIONID";"CADCONSTRUCTIONYEAR";"CADMAXBUILDINGFLOOR";"CADDWELLINGCOUNT";"CADASTRALQUALITYID";"BUILTTYPEID_1";"BUILTTYPEID_2";"BUILTTYPEID_3";"DISTANCE_TO_CITY_CENTER";"DISTANCE_TO_METRO";"DISTANCE_TO_DIAGONAL";"LONGITUDE";"LATITUDE";"CUSEC";"CUMUN";"CSEC";"CDIS";"CMUN";"CPRO";"CCA";"CUDIS";"CLAU2";"NPRO";"NCA";"CNUT0";"CNUT1";"CNUT2";"CNUT3";"NMUN";"Shape_Leng";"Shape_Area";"geometry";"Renta.media.por.persona";"Renta.media.por.hogar"
"35723";"A8255448380267759457";201812;318000;3533,33333333333;90;4;1;0;1;0;3;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1968;4;1;1968;2;3;3;0;0;1;4,60413379063985;0,174768849986767;0,960914657393262;2,11662741779118;41,3767371717306;"0801904047";"08019";"047";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";4266,65164029;572598,197096;c(927929.000003078, 4593227.99988437);18040;46666
"35725";"A3517252504020702458";201812;266000;3546,66666666667;75;4;1;0;1;0;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1952;5;1;1952;8;28;4;0;1;0;3,69560678342076;0,513545500748566;0,802944008349939;2,12660377457948;41,3806314615901;"0801904036";"08019";"036";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";761,489976725;30553,0394272;c(928738.000003084, 4593709.99988436);15271;36287
"35726";"A5757983245947992658";201812;356000;3747,36842105263;95;5;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;2;NA;1953;8;32;4;0;1;0;3,63922362112653;0,441714684377141;0,769454003562904;2,12716815310858;41,3811194254454;"0801904036";"08019";"036";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";761,489976725;30553,0394272;c(928782.000003085, 4593766.99988437);15271;36287
"35727";"A8748757434886908651";201812;312000;4457,14285714286;70;3;2;0;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1970;6;1;1970;11;33;4;0;0;1;4,14652966223968;0,284850520428509;0,904191311046599;2,12172914497335;41,3783822582104;"0801904049";"08019";"049";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";3973,43817429;806678,799651;c(928345.00000308, 4593435.99988438);25388;67661
"35730";"A17407219132626547994";201812;363000;4270,58823529412;85;4;2;1;1;0;3;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1970;7;1;1970;10;84;3;0;0;1;3,79204352051345;0,275085714845353;1,0623025915892;2,12619158161738;41,3781290083382;"0801904038";"08019";"038";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";548,674227744;18568,9798378;c(928720.000003084, 4593429.99988437);17693;43871
"35731";"A11340969660921875350";201812;451000;4510;100;3;3;0;1;1;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;NA;2;1;1966;10;110;2;0;1;0;3,62122181945326;0,320086850569999;0,44321783518316;2,12685125125618;41,3840775922287;"0801904084";"08019";"084";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";736,902284596;23680,4085033;c(928736.000003084, 4594093.99988436);23215;56089
"35732";"A12324685922968467628";201812;528000;4000;132;4;2;1;1;1;3;1;1;1;0;1;0;0;1;1;0;0;0;0;0;0;NA;6;1;1980;6;47;3;0;0;1;4,17330700841165;0,14017563686359;1,08084514135357;2,12196015208166;41,3767603943752;"0801904041";"08019";"041";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";773,304809962;24341,6615117;c(928375.000003081, 4593256.99988437);13832;32274
"35733";"A16675161179346512352";201812;454000;3947,82608695652;115;4;1;1;1;0;3;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1966;10;1;1966;10;31;5;0;1;0;4,02902582829838;0,139114222756619;1,2043907697657;2,12401410453112;41,3761285254378;"0801903081";"08019";"081";"03";"019";"08";"09";"0801903";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";809,63532817;29024,6346905;c(928551.000003082, 4593196.99988438);14542;34894
"35734";"A6453831502450564697";201812;371000;4122,22222222222;90;4;2;0;1;1;3;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1977;7;1;1977;10;101;3;0;0;1;4,097601039568;0,19241176266528;1,13013993680508;2,12298369308114;41,3765526549644;"0801904042";"08019";"042";"04";"019";"08";"09";"0801904";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";533,828606614;18449,3998952;c(928462.000003081, 4593238.99988437);14469;33507
"35736";"A9645333735269954855";201812;369000;4392,85714285714;84;3;1;1;1;1;3;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1973;8;1;1973;4;9;4;0;0;1;3,60136380633518;0,350345712672605;1,04523709450139;2,12832275186012;41,3787810541499;"0801903085";"08019";"085";"03";"019";"08";"09";"0801903";"08019";"Barcelona";"Cataluña";"ES";"5";"1";"1";"Barcelona";647,403374238;24481,8180323;c(928894.000003085, 4593512.99988437);14059;31751
